;subprefeitura/zona;valor;secretaria;numero_meta;meta;indicador;codigo_subs;codigo_zonas
10;Ipiranga;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;13;
11;Itaim Paulista;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;24;
12;Itaquera;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;27;
13;Jabaquara;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;15;
14;Jaçanã/Tremembé;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;06;
15;Lapa;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;08;
16;M'Boi Mirim;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;18;
17;Mooca;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;25;
18;Parelheiros;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;20;
19;Penha;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;21;
20;Perus;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;01;
21;Pinheiros;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;11;
22;Pirituba/Jaraguá;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;02;
23;Santana/Tucuruvi;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;05;
24;Santo Amaro;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;14;
25;São Mateus;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;30;
26;São Miguel Paulista;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;23;
27;Sapopemba;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;32;
28;Sé;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;09;
29;Vila Maria/Vila Guilherme;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;07;
30;Vila Mariana;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;12;
31;Vila Prudente;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;29;
32;LESTE;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;;2.0
33;NORTE;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;;3.0
34;CENTRO;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;;1.0
35;OESTE;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;;4.0
36;SUL;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;;5.0
37;Aricanduva/Vila Formosa;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;26;
38;Butantã;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;10;
39;Campo Limpo;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;17;
40;Capela do Socorro;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;19;
41;Casa Verde;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;04;
42;Cidade Ademar;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;16;
43;Cidade Tiradentes;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;31;
44;Ermelino Matarazzo;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;22;
45;Freguesia do Ó/Brasilândia;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;03;
46;Guaianases;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;28;
47;Ipiranga;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;13;
48;Itaim Paulista;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;24;
49;Itaquera;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;27;
50;Jabaquara;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;15;
51;Jaçanã/Tremembé;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;06;
52;Lapa;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;08;
53;M'Boi Mirim;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;18;
54;Mooca;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;25;
55;Parelheiros;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;20;
56;Penha;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;21;
57;Perus;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;01;
58;Pinheiros;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;11;
59;Pirituba/Jaraguá;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;02;
60;Santana/Tucuruvi;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;05;
61;Santo Amaro;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;14;
62;São Mateus;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;30;
63;São Miguel Paulista;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;23;
64;Sapopemba;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;32;
65;Sé;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;09;
66;Vila Maria/Vila Guilherme;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;07;
67;Vila Mariana;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;12;
68;Vila Prudente;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;29;
69;LESTE;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;;2.0
70;NORTE;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;;3.0
71;CENTRO;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;;1.0
72;OESTE;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;;4.0
73;SUL;10.0;SMSUB;33;Garantir que o  Tempo Médio de Atendimento do serviço de Tapa Buraco permaneça inferior a 10 dias, em todas as subprefeituras;Tempo médio de atendimento, em dias, do serviço de tapa buraco. ;;5.0
74;Aricanduva/Vila Formosa;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;26;
75;Butantã;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;10;
76;Campo Limpo;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;17;
77;Capela do Socorro;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;19;
78;Casa Verde;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;04;
79;Cidade Ademar;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;16;
80;Cidade Tiradentes;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;31;
81;Ermelino Matarazzo;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;22;
82;Freguesia do Ó/Brasilândia;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;03;
83;Guaianases;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;28;
84;Ipiranga;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;13;
85;Itaim Paulista;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;24;
86;Itaquera;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;27;
87;Jabaquara;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;15;
88;Jaçanã/Tremembé;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;06;
89;Lapa;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;08;
90;M'Boi Mirim;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;18;
91;Mooca;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;25;
92;Parelheiros;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;20;
93;Penha;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;21;
94;Perus;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;01;
95;Pinheiros;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;11;
96;Pirituba/Jaraguá;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;02;
97;Santana/Tucuruvi;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;05;
98;Santo Amaro;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;14;
99;São Mateus;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;30;
100;São Miguel Paulista;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;23;
101;Sapopemba;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;32;
102;Sé;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;09;
103;Vila Maria/Vila Guilherme;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;07;
104;Vila Mariana;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;12;
105;Vila Prudente;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;29;
106;LESTE;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;;2.0
107;NORTE;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;;3.0
108;CENTRO;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;;1.0
109;OESTE;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;;4.0
110;SUL;;SMT;47;Aumentar em 420 quilômetros a extensão de vias atendidas pelo sistema de ônibus.;Extensão, em quilômetros, de vias atendidas pelos ônibus municipais.;;5.0
111;Aricanduva/Vila Formosa;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;26;
112;Butantã;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;10;
113;Campo Limpo;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;17;
114;Capela do Socorro;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;19;
115;Casa Verde;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;04;
116;Cidade Ademar;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;16;
117;Cidade Tiradentes;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;31;
118;Ermelino Matarazzo;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;22;
119;Freguesia do Ó/Brasilândia;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;03;
120;Guaianases;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;28;
121;Ipiranga;;SMSUB;67;Reduzir em 600 mil toneladas a quantidade de resíduos enviados aos aterros entre 2021 e 2024 ;Quantidade, em toneladas, de resíduos que deixarão de ser enviados aos aterros por meio das iniciativas adotadas;13;
